Path,SensorConfig,GaitParam,Method,Participant,Mean Symmetry of Group,SimilarityScore
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P04,1.062444792,4.197118125
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P04,1.092059626,4.302100934
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P04,1.123253513,4.606036496
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P04,1.155069149,4.708957961
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.0624447916896966,0.598828704
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.0920596261433198,0.602348314
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.1232535131415362,0.537928954
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.155069148610125,0.57125351
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P04,1.062444792,45.65912382
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P04,1.092059626,47.14151211
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P04,1.123253513,48.56294393
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,DTW,LLPU_P04,1.155069149,56.19162792
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P04,1.062444792,3.059483182
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P04,1.092059626,3.27532294
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P04,1.123253513,3.375582884
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,MDP,LLPU_P04,1.155069149,3.59910594
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.0624447916896966,0.748221956
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.0920596261433198,0.637765304
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.1232535131415362,0.646837866
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.155069148610125,0.681341192
