FilePath,Sensor,GaitParam,Algorithm,Participant,X,Y
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P06,1.06356089,17.85295054
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P06,1.156208864,0.928591583
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P06,1.124227442,0.890836908
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P06,1.093288763,0.925018879
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P06,1.06356089,0.943997029
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P06,1.156 - 1.156,0.610755026
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P06,1.156 - 1.124,0.617368642
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P06,1.156 - 1.093,0.603986384
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P06,1.156 - 1.064,0.610596728
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P06,1.156208864,91.47380359
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P06,1.124227442,89.17265429
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P06,1.093288763,90.47380077
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P06,1.06356089,90.54978073
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P06,1.156208864,5.042532091
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P06,1.124227442,5.166162409
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P06,1.093288763,4.739785043
